sample_id	genotype	sex
GSM8899177	5xFADHEMI:CLUh2kbKIHO	female
GSM8899178	5xFADHEMI:CLUh2kbKIHO	female
GSM8899179	5xFADHEMI:CLUh2kbKIHO	female
GSM8899180	5xFADHEMI:CLUh2kbKIHO	female
GSM8899181	5xFADHEMI:CLUh2kbKIHO	male
GSM8899182	5xFADHEMI:CLUh2kbKIHO	male
GSM8899183	5xFADHEMI:CLUh2kbKIHO	male
GSM8899184	5xFADHEMI:CLUh2kbKIHO	male
GSM8899185	5xFADHEMI:CLUh2kbKIHO	male
GSM8899186	5xFADHEMI	female
GSM8899187	5xFADHEMI	female
GSM8899188	5xFADHEMI	female
GSM8899189	5xFADHEMI	female
GSM8899190	5xFADHEMI	female
GSM8899191	5xFADHEMI	male
GSM8899192	5xFADHEMI	male
GSM8899193	5xFADHEMI	male
GSM8899194	5xFADHEMI	male
GSM8899195	5xFADHEMI	male
